264×10 DataFrame
 Row │ Nome                      n        nnz        metodo  it       normg        normg_c      xnorm        st   tempo
     │ Any                       Any      Any        Any     Any      Any          Any          Any          Any  Any
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 210 │ GHS_psdef/s3dkq4m2        90449    4427725    dwgm    452245   0.000882037  1.84313e5    4.0831       1    1211.16
 211 │ GHS_psdef/s3dkt3m2        90449    3686223    cg      452245   0.0441634    0.0441634    3.95549      1    895.074
 212 │ GHS_psdef/s3dkt3m2        90449    3686223    cr      452245   0.000165355  0.000165355  1.84901      1    918.085
 213 │ GHS_psdef/s3dkt3m2        90449    3686223    dwgm    452245   0.00120076   983518.0     10.4179      1    991.023
 214 │ DNVS/m_t1                 97578    9753570    cg      487890   2.10648e10   2.10648e10   19.1472      1    2376.64
 215 │ DNVS/m_t1                 97578    9753570    cr      487890   4.56902e6    4.56902e6    3.73267      1    2411.13
 216 │ DNVS/m_t1                 97578    9753570    dwgm    487890   3.40217e7    7.13233e10   1.56647      1    2508.44
 217 │ Um/2cubes_sphere          101492   1647264    cg      507460   0.354349     0.354033     0.000287216  1    902.186
 218 │ Um/2cubes_sphere          101492   1647264    cr      507460   0.00049011   0.00146866   5.21226e-5   1    943.341
 219 │ Um/2cubes_sphere          101492   1647264    dwgm    507460   1.78528      5.54475e11   7.38535      1    1027.89
 220 │ DNVS/x104                 108384   8713602    cg      541920   130.027      130.027      3.01039      1    2754.23
 221 │ DNVS/x104                 108384   8713602    cr      541920   0.26683      0.26683      2.76171      1    2813.51
 222 │ DNVS/x104                 108384   8713602    dwgm    541920   20.3919      3.6174e5     3.93393      1    2928.55
 223 │ DNVS/shipsec8             114919   3303553    cg      574595   5.75133e9    5.75133e9    5.15254      1    2026.92
 224 │ DNVS/shipsec8             114919   3303553    cr      574595   2.74315e5    2.74315e5    3.74761      1    2079.01
 225 │ DNVS/shipsec8             114919   3303553    dwgm    574595   1.96996e7    3.20071e11   1.37738      1    2199.84
 226 │ DNVS/ship_003             121728   3777036    cg      608640   5.72511e12   5.72511e12   7.11334      1    2630.94
 227 │ DNVS/ship_003             121728   3777036    cr      608640   9.48921e9    9.48921e9    2.4901       1    2684.03
 228 │ DNVS/ship_003             121728   3777036    dwgm    608640   7.11315e10   1.4169e19    4.10794      1    2828.92
 229 │ DNVS/shipsec1             140874   3568176    cg      704370   2.29136e9    2.29136e9    5.96923      1    2992.25
